model,method,target,penalize_diag,KL_mean,KL_sd,L2_mean,L2_sd,SP_mean,SP_sd,F1_mean,F1_sd,MCC_mean,MCC_sd
1,gelnet,None,TRUE,37.72506264681203,5.601423306594629,6.789151771507981,0.7326056459436567,1.4321518082125355,0.11786672972189602,0.5909562425522742,0.10123371218916366,0,0
1,gelnet,None,FALSE,47.571368811137894,6.904120614954923,5.444821613827991,0.525812982075373,1.1582010867565073,0.10355205239280516,0.5332348023900512,0.06305702993509157,0,0
1,gelnet,Eigenvalue,TRUE,116.54023977331798,26.23728466190314,13.289148885020857,3.305847634954288,2.740033004162806,0.5223813111044203,0.5645941693044753,0.13503645483700358,0,0
1,gelnet,Identity,TRUE,38.35561631727241,5.770516830158774,6.408968640987096,0.5970109357730091,1.3598862790196877,0.08756389505105595,0.5527778430279414,0.07326638464095853,0,0
1,gelnet,MSC,TRUE,39.962132331688665,5.9576495647553225,5.9556489805662105,0.5206340789549486,1.2665024896235617,0.0747554706197043,0.5226871402051503,0.04721489803375861,0,0
1,gelnet,Regression,TRUE,55.74826925665564,18.080052535574293,5.554234564676991,0.44248131873216245,1.1669375624490088,0.08828280773714721,0.5934217108164388,0.13013702475486277,0,0
1,gelnet,TrueDiag,TRUE,103.85050692823128,16.422495511698482,3.7986493826412597,0.9782156611217119,0.8484095043797373,0.1658697312357997,0.6720876261848255,0.13271394400326894,0,0
1,gelnet,vIdentity,TRUE,38.32379055684639,5.7760534210649555,6.407294453694445,0.59113157520063,1.3598592627841,0.08767668956506258,0.5527148173922223,0.07324446899284931,0,0
1,glasso,None,TRUE,43.00128602986833,6.097415050066237,6.205573921195874,0.3372250883923684,1.2940297589366239,0.06707520045995886,0.4559085475230653,0.0049057625246993605,0,0
1,glasso,None,FALSE,50.908075641291525,7.164998993623137,6.157701648885648,0.21242890074570106,1.273192947772721,0.08507587031746641,0.4396804107610727,0.006315423907765815,0,0
1,glasso,Eigenvalue,TRUE,80.76690697964048,10.652478129568395,8.72397981160495,1.1199670910423158,2.0695997948268783,0.2928049622100734,0.39644620989421625,0.005197357299205444,0,0
1,glasso,Identity,TRUE,43.028573507722875,6.143518826158782,6.210777360236849,0.33427709599469985,1.2943674209287421,0.06798636161752211,0.4558635633060161,0.0048597718129915314,0,0
1,glasso,MSC,TRUE,43.00944863424825,6.062037716448676,6.206194337337399,0.3337603719747977,1.2945495480591003,0.06712183859519752,0.45587671916666456,0.0049122364603848,0,0
1,glasso,Regression,TRUE,45.749245207145876,6.51845721819606,6.201954295911849,0.2600206128839333,1.2771585268861385,0.055508043899558365,0.44942485961404166,0.008029765589854989,0,0
1,glasso,TrueDiag,TRUE,61.250527399389625,9.006237405797693,5.9016555019431545,0.13597448092368863,1.1595395343955948,0.036545109255560516,0.42702109795197296,0.011657689915467761,0,0
1,glasso,vIdentity,TRUE,42.97062775561314,6.057333962550955,6.208363304065581,0.33576084733885964,1.2949662720485544,0.06678590645452612,0.4559532408578863,0.004844892373149644,0,0
1,rope,None,TRUE,40.21591141764313,5.918064725395494,8.948959169619,0.33996905805676153,1.7529336702928238,0.05019568542897371,0.9999446377291904,7.538896421485205e-5,0,0
1,rope,None,FALSE,40.25850084027799,5.894764984985668,8.95031425750448,0.33931794209115534,1.7528480929511037,0.050234427272539926,0.9999443779218689,7.557778408471897e-5,0,0
1,rope,Eigenvalue,TRUE,177.58873139605672,20.771658250632072,22.822857653683876,2.306412843643454,4.448085615335213,0.46392553636444644,0.9999739364755174,4.7370404958821375e-5,0,0
1,rope,Identity,TRUE,39.022546676377345,5.693165695213948,8.253426437510331,0.4044708003282989,1.6909519841047282,0.04877681597902336,0.9999424149557338,7.735984973622705e-5,0,0
1,rope,MSC,TRUE,31.428197932880916,4.368919782002299,6.151502461807129,0.825744639057723,1.1330761173796802,0.09603649377225477,0.999878758851851,1.1985719092196315e-4,0,0
1,rope,Regression,TRUE,40.06816494825025,7.126848959947976,4.52280761199342,0.22740208280821517,1.0063360759065,0.041612557296926214,0.9998868434988821,1.1142400199170538e-4,0,0
1,rope,TrueDiag,TRUE,62.80981509347428,10.459706758102742,2.3392853582440774,0.1397834440486018,0.6068249870034872,0.04956609606020456,0.9998939164310674,1.0834508952385352e-4,0,0
1,rope,vIdentity,TRUE,39.03334952007869,5.718067094045829,8.253157358642124,0.40314285892289736,1.6909550364713188,0.04878675463267921,0.9999478705421893,7.44373855576708e-5,0,0
2,gelnet,None,TRUE,58.34450969628895,12.17424629925383,83.68396596878232,7.0829744153864596,15.83359506580967,1.1877736789610622,0.16193551253766766,0.049509833930758834,NA,NA
2,gelnet,None,FALSE,63.86405461499163,15.775846340539328,82.76739886501758,7.046998984478355,15.712495038123977,1.1877542358853892,0.3315983831111078,0.058320709115813045,NA,NA
2,gelnet,Eigenvalue,TRUE,38.78898612384106,8.508098215682574,80.37721826321923,7.115647446909684,15.254431923060238,1.1857668398105254,0.2091829468170159,0.09693988586759197,NA,NA
2,gelnet,Identity,TRUE,73.46459081356906,13.375011926704282,82.97729841250171,7.019147949893698,15.755848218623447,1.188594558872618,0.31904242550136097,0.05109767484131224,NA,NA
2,gelnet,MSC,TRUE,68.71115508715766,14.012117906991344,82.36698196341803,7.070001860864584,15.6554217998902,1.1873884697357886,0.34611836178306116,0.06205331461973122,NA,NA
2,gelnet,Regression,TRUE,46.12828115183048,17.951115392766578,75.85423200997941,7.133983761619221,14.451457578749615,1.1645219308307275,0.08172644989162418,0.04572564372887408,NA,NA
