model,rep,method,alpha,penalize_diag,target,lambda,edges,F1,MCC,TP,TN,FP,FN,KL,L2,SP,PRAUC,ROCAUC
7,1,glasso,0.35,TRUE,vIdentity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.5,TRUE,vIdentity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.65,TRUE,vIdentity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.8,TRUE,vIdentity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.2,TRUE,Eigenvalue,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.10481285886544,40.69362428000417,12.144912880041794,0.7003935122888211,0.7414404543433905
7,1,glasso,0.35,TRUE,Eigenvalue,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.10481285886544,40.69362428000417,12.144912880041794,0.7003935122888211,0.7414404543433905
7,1,glasso,0.5,TRUE,Eigenvalue,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.10481285886544,40.69362428000417,12.144912880041794,0.7003935122888211,0.7414404543433905
7,1,glasso,0.65,TRUE,Eigenvalue,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.10481285886544,40.69362428000417,12.144912880041794,0.7003935122888211,0.7414404543433905
7,1,glasso,0.8,TRUE,Eigenvalue,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.10481285886544,40.69362428000417,12.144912880041794,0.7003935122888211,0.7414404543433905
7,1,glasso,0.2,TRUE,MSC,0.4466835921509635,180,0.6182572614107884,NA,149,4617,31,153,51.10907132099629,45.14542082971016,12.816053037771344,0.695669739439165,0.7443994283662558
7,1,glasso,0.35,TRUE,MSC,0.4466835921509635,180,0.6182572614107884,NA,149,4617,31,153,51.10907132099629,45.14542082971016,12.816053037771344,0.695669739439165,0.7443994283662558
7,1,glasso,0.5,TRUE,MSC,0.4466835921509635,180,0.6182572614107884,NA,149,4617,31,153,51.10907132099629,45.14542082971016,12.816053037771344,0.695669739439165,0.7443994283662558
7,1,glasso,0.65,TRUE,MSC,0.4466835921509635,180,0.6182572614107884,NA,149,4617,31,153,51.10907132099629,45.14542082971016,12.816053037771344,0.695669739439165,0.7443994283662558
7,1,glasso,0.8,TRUE,MSC,0.4466835921509635,180,0.6182572614107884,NA,149,4617,31,153,51.10907132099629,45.14542082971016,12.816053037771344,0.695669739439165,0.7443994283662558
7,1,glasso,0.2,TRUE,Regression,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.04528519334849,40.706752321457145,12.144953964375324,0.7003935122888211,0.7414404543433905
7,1,glasso,0.35,TRUE,Regression,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.04528519334849,40.706752321457145,12.144953964375324,0.7003935122888211,0.7414404543433905
7,1,glasso,0.5,TRUE,Regression,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.04528519334849,40.706752321457145,12.144953964375324,0.7003935122888211,0.7414404543433905
7,1,glasso,0.65,TRUE,Regression,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.04528519334849,40.706752321457145,12.144953964375324,0.7003935122888211,0.7414404543433905
7,1,glasso,0.8,TRUE,Regression,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.04528519334849,40.706752321457145,12.144953964375324,0.7003935122888211,0.7414404543433905
7,1,glasso,0.2,TRUE,TrueDiag,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.07123088721539,40.69597911273986,12.145017653707438,0.7003935122888211,0.7414404543433905
7,1,glasso,0.35,TRUE,TrueDiag,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.07123088721539,40.69597911273986,12.145017653707438,0.7003935122888211,0.7414404543433905
7,1,glasso,0.5,TRUE,TrueDiag,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.07123088721539,40.69597911273986,12.145017653707438,0.7003935122888211,0.7414404543433905
7,1,glasso,0.65,TRUE,TrueDiag,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.07123088721539,40.69597911273986,12.145017653707438,0.7003935122888211,0.7414404543433905
7,1,glasso,0.8,TRUE,TrueDiag,0.4466835921509635,173,0.6189473684210526,NA,147,4622,26,155,40.07123088721539,40.69597911273986,12.145017653707438,0.7003935122888211,0.7414404543433905
7,1,glasso,0.2,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.35,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.5,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.65,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.8,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.2,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.35,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.5,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.65,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.8,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.2,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.35,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.5,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.65,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.8,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.2,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.35,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
