model,rep,method,alpha,penalize_diag,target,lambda,KL,L2,SP,edges,F1,MCC,TP,TN,FP,FN,PRAUC,ROCAUC
2,74,glasso,0.2,TRUE,None,0.10592537251772886,57.68377221421608,70.24961569021868,13.82351520103858,678,0.25225225225225223,NA,98,4271,580,1,0.9489842400408044,0.9930567268229606
2,74,glasso,0.35,TRUE,None,0.10592537251772886,57.68377221421608,70.24961569021868,13.82351520103858,678,0.25225225225225223,NA,98,4271,580,1,0.9489842400408044,0.9930567268229606
2,74,glasso,0.5,TRUE,None,0.10592537251772886,57.68377221421608,70.24961569021868,13.82351520103858,678,0.25225225225225223,NA,98,4271,580,1,0.9489842400408044,0.9930567268229606
2,74,glasso,0.65,TRUE,None,0.11220184543019641,60.73996498433553,70.33608172202268,13.844939900854435,596,0.2820143884892086,NA,98,4353,498,1,0.9485969809269561,0.9930921251267573
2,74,glasso,0.8,TRUE,None,0.10592537251772886,57.68377221421608,70.24961569021868,13.82351520103858,678,0.25225225225225223,NA,98,4271,580,1,0.9489842400408044,0.9930567268229606
2,74,glasso,0.2,TRUE,Identity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.35,TRUE,Identity,0.1333521432163324,68.54848906908049,69.95208430514224,13.813068068422185,375,0.4092827004219409,NA,97,4573,278,2,0.949111365396988,0.9886350622281357
2,74,glasso,0.5,TRUE,Identity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.65,TRUE,Identity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.8,TRUE,Identity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.2,TRUE,vIdentity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.35,TRUE,vIdentity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.5,TRUE,vIdentity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.65,TRUE,vIdentity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.8,TRUE,vIdentity,0.12589254117941676,65.21175854516966,69.94302789136997,13.808057493411658,446,0.3602941176470588,NA,98,4504,347,1,0.9502499730547553,0.9932628698862466
2,74,glasso,0.2,TRUE,Eigenvalue,0.1412537544622754,44.47543184546254,68.2825272229007,13.414995894313202,291,0.49743589743589745,NA,97,4657,194,2,0.9496295720714137,0.9888183005066121
2,74,glasso,0.35,TRUE,Eigenvalue,0.14962356560944343,45.557615377522154,68.25201439243432,13.420767274778335,252,0.5527065527065527,NA,97,4696,155,2,0.9501792683121775,0.9889078373926858
2,74,glasso,0.5,TRUE,Eigenvalue,0.1412537544622754,44.47543184546254,68.2825272229007,13.414995894313202,291,0.49743589743589745,NA,97,4657,194,2,0.9496295720714137,0.9888183005066121
2,74,glasso,0.65,TRUE,Eigenvalue,0.1412537544622754,44.47543184546254,68.2825272229007,13.414995894313202,291,0.49743589743589745,NA,97,4657,194,2,0.9496295720714137,0.9888183005066121
2,74,glasso,0.8,TRUE,Eigenvalue,0.1412537544622754,44.47543184546254,68.2825272229007,13.414995894313202,291,0.49743589743589745,NA,97,4657,194,2,0.9496295720714137,0.9888183005066121
2,74,glasso,0.2,TRUE,MSC,0.1333521432163324,60.00895988378119,69.1295363499428,13.615780078189408,371,0.4127659574468085,NA,97,4577,274,2,0.9457995366057039,0.9885871704053522
2,74,glasso,0.35,TRUE,MSC,0.1333521432163324,60.00895988378119,69.1295363499428,13.615780078189408,371,0.4127659574468085,NA,97,4577,274,2,0.9457995366057039,0.9885871704053522
2,74,glasso,0.5,TRUE,MSC,0.1412537544622754,63.54306972540991,69.13904931170353,13.622683398496234,307,0.47783251231527096,NA,97,4641,210,2,0.9462936132615585,0.9887287636205385
2,74,glasso,0.65,TRUE,MSC,0.1412537544622754,63.54306972540991,69.13904931170353,13.622683398496234,307,0.47783251231527096,NA,97,4641,210,2,0.9462936132615585,0.9887287636205385
