model,rep,method,alpha,penalize_diag,target,lambda,KL,L2,SP,edges,F1,MCC,TP,TN,FP,FN,PRAUC,ROCAUC
4,15,glasso,0.2,TRUE,None,0.1188502227437019,23.989760703486894,25.762444903642624,9.40415109397495,603,0.33618233618233617,NA,177,4074,426,273,0.28769158867088307,0.6544943209876544
4,15,glasso,0.35,TRUE,None,0.12589254117941676,23.761578728873772,25.84458589903029,9.430070292072118,513,0.3260643821391485,NA,157,4144,356,293,0.28587338828075043,0.6388666666666666
4,15,glasso,0.5,TRUE,None,0.11220184543019641,24.25784953187224,25.675375930206982,9.375928094820082,703,0.33998265394622723,NA,196,3993,507,254,0.2894200767185985,0.6685091358024691
4,15,glasso,0.65,TRUE,None,0.1188502227437019,23.989760703486894,25.762444903642624,9.40415109397495,603,0.33618233618233617,NA,177,4074,426,273,0.28769158867088307,0.6544943209876544
4,15,glasso,0.8,TRUE,None,0.11220184543019641,24.25784953187224,25.675375930206982,9.375928094820082,703,0.33998265394622723,NA,196,3993,507,254,0.2894200767185985,0.6685091358024691
4,15,glasso,0.2,TRUE,Identity,0.16788040181225605,26.328565653722393,25.776945083970666,9.386806151330743,160,0.2360655737704918,NA,72,4412,88,378,0.3113360398426906,0.5704064197530864
4,15,glasso,0.35,TRUE,Identity,0.1778279410038923,26.368481369154665,25.810867361252026,9.39317175692545,114,0.1773049645390071,NA,50,4436,64,400,0.2972344460792676,0.548640987654321
4,15,glasso,0.5,TRUE,Identity,0.14962356560944343,26.2500141050278,25.689444790707057,9.360628217061398,263,0.28892005610098176,NA,103,4340,160,347,0.30049146835276314,0.5976014814814815
4,15,glasso,0.65,TRUE,Identity,0.15848931924611143,26.283845715517984,25.73475357104062,9.374861314418107,204,0.27217125382262997,NA,89,4385,115,361,0.31245630282022013,0.5864160493827161
4,15,glasso,0.8,TRUE,Identity,0.16788040181225605,26.328565653722393,25.776945083970666,9.386806151330743,160,0.2360655737704918,NA,72,4412,88,378,0.3113360398426906,0.5704064197530864
4,15,glasso,0.2,TRUE,vIdentity,0.14962356560944343,26.2500141050278,25.689444790707057,9.360628217061398,263,0.28892005610098176,NA,103,4340,160,347,0.30049146835276314,0.5976014814814815
4,15,glasso,0.35,TRUE,vIdentity,0.1778279410038923,26.368481369154665,25.810867361252026,9.39317175692545,114,0.1773049645390071,NA,50,4436,64,400,0.2972344460792676,0.548640987654321
4,15,glasso,0.5,TRUE,vIdentity,0.15848931924611143,26.283845715517984,25.73475357104062,9.374861314418107,204,0.27217125382262997,NA,89,4385,115,361,0.31245630282022013,0.5864160493827161
4,15,glasso,0.65,TRUE,vIdentity,0.15848931924611143,26.283845715517984,25.73475357104062,9.374861314418107,204,0.27217125382262997,NA,89,4385,115,361,0.31245630282022013,0.5864160493827161
4,15,glasso,0.8,TRUE,vIdentity,0.14962356560944343,26.2500141050278,25.689444790707057,9.360628217061398,263,0.28892005610098176,NA,103,4340,160,347,0.30049146835276314,0.5976014814814815
4,15,glasso,0.2,TRUE,Eigenvalue,0.1412537544622754,33.43963373683408,25.142697502060297,9.140367943059568,350,0.2975,NA,119,4269,231,331,0.2865910055343273,0.6087646913580247
4,15,glasso,0.35,TRUE,Eigenvalue,0.1412537544622754,33.43963373683408,25.142697502060297,9.140367943059568,350,0.2975,NA,119,4269,231,331,0.2865910055343273,0.6087646913580247
4,15,glasso,0.5,TRUE,Eigenvalue,0.14962356560944343,33.77969064929107,25.194237684993197,9.153212994044939,264,0.28851540616246496,NA,103,4339,161,347,0.2998617728212371,0.5975143209876543
4,15,glasso,0.65,TRUE,Eigenvalue,0.1412537544622754,33.43963373683408,25.142697502060297,9.140367943059568,350,0.2975,NA,119,4269,231,331,0.2865910055343273,0.6087646913580247
4,15,glasso,0.8,TRUE,Eigenvalue,0.1412537544622754,33.43963373683408,25.142697502060297,9.140367943059568,350,0.2975,NA,119,4269,231,331,0.2865910055343273,0.6087646913580247
4,15,glasso,0.2,TRUE,MSC,0.1333521432163324,27.950236230825652,25.423096045455175,9.27445628216488,421,0.3168771526980482,NA,138,4217,283,312,0.28780955966725374,0.6245925925925926
4,15,glasso,0.35,TRUE,MSC,0.14962356560944343,27.96344277654677,25.53209843342281,9.306657307636435,263,0.28892005610098176,NA,103,4340,160,347,0.2998881381759274,0.5975856790123457
4,15,glasso,0.5,TRUE,MSC,0.15848931924611143,27.998501554365347,25.58187603148377,9.322915595270258,204,0.27217125382262997,NA,89,4385,115,361,0.31228815003350174,0.5864086419753086
4,15,glasso,0.65,TRUE,MSC,0.15848931924611143,27.998501554365347,25.58187603148377,9.322915595270258,204,0.27217125382262997,NA,89,4385,115,361,0.31228815003350174,0.5864086419753086
4,15,glasso,0.8,TRUE,MSC,0.1778279410038923,28.085484694736408,25.66602671076773,9.343806829572927,114,0.1773049645390071,NA,50,4436,64,400,0.2973465521471409,0.548640987654321
4,15,glasso,0.2,TRUE,Regression,0.12589254117941676,21.984728849945242,25.080784381357653,9.16751342310398,511,0.32466181061394384,NA,156,4145,355,294,0.2830385687022317,0.6378656790123456
4,15,glasso,0.35,TRUE,Regression,0.1333521432163324,21.672658771140462,25.139569289174922,9.18752298626897,422,0.31880733944954126,NA,139,4217,283,311,0.28620782774148584,0.6256412345679012
4,15,glasso,0.5,TRUE,Regression,0.12589254117941676,21.98371251146291,25.07927091503489,9.16399942286675,511,0.32466181061394384,NA,156,4145,355,294,0.28305901006210726,0.6378661728395061
4,15,glasso,0.65,TRUE,Regression,0.1333521432163324,21.6704108495815,25.135804785949993,9.183123707626063,422,0.31880733944954126,NA,139,4217,283,311,0.28616007731387505,0.6256407407407407
4,15,glasso,0.8,TRUE,Regression,0.12589254117941676,21.994099855106953,25.085657719056243,9.17160769726657,511,0.32466181061394384,NA,156,4145,355,294,0.2830183273655309,0.6378666666666666
4,15,glasso,0.2,TRUE,TrueDiag,0.1412537544622754,25.32807804238503,25.147593002994395,9.172858448595791,350,0.2975,NA,119,4269,231,331,0.28538084141005776,0.6087962962962963
4,15,glasso,0.35,TRUE,TrueDiag,0.1412537544622754,25.32807804238503,25.147593002994395,9.172858448595791,350,0.2975,NA,119,4269,231,331,0.28538084141005776,0.6087962962962963
4,15,glasso,0.5,TRUE,TrueDiag,0.1412537544622754,25.32807804238503,25.147593002994395,9.172858448595791,350,0.2975,NA,119,4269,231,331,0.28538084141005776,0.6087962962962963
4,15,glasso,0.65,TRUE,TrueDiag,0.1412537544622754,25.32807804238503,25.147593002994395,9.172858448595791,350,0.2975,NA,119,4269,231,331,0.28538084141005776,0.6087962962962963
4,15,glasso,0.8,TRUE,TrueDiag,0.1412537544622754,25.32807804238503,25.147593002994395,9.172858448595791,350,0.2975,NA,119,4269,231,331,0.28538084141005776,0.6087962962962963
4,15,glasso,0.2,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.35,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.5,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.65,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.8,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.2,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.35,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.5,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.65,FALSE,None,0.1778279410038923,26.464361874434303,25.796227259316332,9.390896564338892,114,0.1773049645390071,NA,50,4436,64,400,0.2972299082823607,0.5486395061728395
4,15,glasso,0.8,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.2,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.35,FALSE,None,0.18836490894898,26.455731486144145,25.826589649779155,9.397981994373577,81,0.1544256120527307,NA,41,4460,40,409,0.32393563577055173,0.541158024691358
4,15,glasso,0.5,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.65,FALSE,None,0.14962356560944343,26.54417483725851,25.653721826019076,9.351437684916723,263,0.28892005610098176,NA,103,4340,160,347,0.30020996761433755,0.5975906172839506
4,15,glasso,0.8,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.2,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.35,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.5,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.65,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.8,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.2,FALSE,None,0.1778279410038923,26.464361874434303,25.796227259316332,9.390896564338892,114,0.1773049645390071,NA,50,4436,64,400,0.2972299082823607,0.5486395061728395
4,15,glasso,0.35,FALSE,None,0.14962356560944343,26.54417483725851,25.653721826019076,9.351437684916723,263,0.28892005610098176,NA,103,4340,160,347,0.30020996761433755,0.5975906172839506
4,15,glasso,0.5,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.65,FALSE,None,0.14962356560944343,26.54417483725851,25.653721826019076,9.351437684916723,263,0.28892005610098176,NA,103,4340,160,347,0.30020996761433755,0.5975906172839506
4,15,glasso,0.8,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.2,FALSE,None,0.14962356560944343,26.54417483725851,25.653721826019076,9.351437684916723,263,0.28892005610098176,NA,103,4340,160,347,0.30020996761433755,0.5975906172839506
4,15,glasso,0.35,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.5,FALSE,None,0.1778279410038923,26.464361874434303,25.796227259316332,9.390896564338892,114,0.1773049645390071,NA,50,4436,64,400,0.2972299082823607,0.5486395061728395
4,15,glasso,0.65,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,glasso,0.8,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.2,FALSE,None,0.14962356560944343,26.54417483725851,25.653721826019076,9.351437684916723,263,0.28892005610098176,NA,103,4340,160,347,0.30020996761433755,0.5975906172839506
4,15,glasso,0.35,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.5,FALSE,None,0.1412537544622754,26.631933154009104,25.593896965450387,9.332825854436194,350,0.2975,NA,119,4269,231,331,0.28630811280334145,0.6087518518518519
4,15,glasso,0.65,FALSE,None,0.16788040181225605,26.47354961666349,25.75696761492763,9.383116409015049,160,0.2360655737704918,NA,72,4412,88,378,0.3115552607342553,0.5704079012345679
4,15,glasso,0.8,FALSE,None,0.15848931924611143,26.494190491562932,25.707848946859478,9.368871051406305,204,0.27217125382262997,NA,89,4385,115,361,0.3126683801313165,0.5864145679012346
4,15,rope,0.2,TRUE,None,0.3758374042884443,28.536982193377384,24.570750544214757,8.947114186155762,4950,0.1666975365808483,NA,450,1,4499,0,0.5460910153978168,0.8857377777777777
4,15,rope,0.35,TRUE,None,0.3758374042884443,28.536982193377384,24.570750544214757,8.947114186155762,4950,0.1666975365808483,NA,450,1,4499,0,0.5460910153978168,0.8857377777777777
4,15,rope,0.5,TRUE,None,0.3981071705534973,28.08704277541989,24.674980355941255,8.984607034584148,4950,0.16666666666666666,NA,450,0,4500,0,0.5377079796576335,0.8824651851851852
4,15,rope,0.65,TRUE,None,0.3758374042884443,28.536982193377384,24.570750544214757,8.947114186155762,4950,0.1666975365808483,NA,450,1,4499,0,0.5460910153978168,0.8857377777777777
4,15,rope,0.8,TRUE,None,0.3758374042884443,28.536982193377384,24.570750544214757,8.947114186155762,4950,0.1666975365808483,NA,450,1,4499,0,0.5460910153978168,0.8857377777777777
4,15,rope,0.2,TRUE,Identity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.35,TRUE,Identity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.5,TRUE,Identity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.65,TRUE,Identity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.8,TRUE,Identity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.2,TRUE,vIdentity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.35,TRUE,vIdentity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.5,TRUE,vIdentity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.65,TRUE,vIdentity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.8,TRUE,vIdentity,1,30.37312498027191,24.517781924836232,8.899092038977617,4950,0.16672841793256762,NA,450,2,4498,0,0.38776770943726757,0.8088671604938271
4,15,rope,0.2,TRUE,Eigenvalue,0.042169650342858224,114.56263706310682,19.81981921354105,5.393284073988577,4950,0.16666666666666666,NA,450,0,4500,0,0.887287177334053,0.9772641975308642
4,15,rope,0.35,TRUE,Eigenvalue,0.039810717055349734,114.93846969295782,19.753762450358707,5.33874338950957,4950,0.16666666666666666,NA,450,0,4500,0,0.8945024012122444,0.9788459259259259
4,15,rope,0.5,TRUE,Eigenvalue,0.042169650342858224,114.56263706310682,19.81981921354105,5.393284073988577,4950,0.16666666666666666,NA,450,0,4500,0,0.887287177334053,0.9772641975308642
4,15,rope,0.65,TRUE,Eigenvalue,0.042169650342858224,114.56263706310682,19.81981921354105,5.393284073988577,4950,0.16666666666666666,NA,450,0,4500,0,0.887287177334053,0.9772641975308642
4,15,rope,0.8,TRUE,Eigenvalue,0.039810717055349734,114.93846969295782,19.753762450358707,5.33874338950957,4950,0.16666666666666666,NA,450,0,4500,0,0.8945024012122444,0.9788459259259259
4,15,rope,0.2,TRUE,MSC,1,31.272391619571437,24.433273202564575,8.861524523063913,4950,0.1666975365808483,NA,450,1,4499,0,0.3831466871426972,0.806953086419753
4,15,rope,0.35,TRUE,MSC,1,31.272391619571437,24.433273202564575,8.861524523063913,4950,0.1666975365808483,NA,450,1,4499,0,0.3831466871426972,0.806953086419753
4,15,rope,0.5,TRUE,MSC,1,31.272391619571437,24.433273202564575,8.861524523063913,4950,0.1666975365808483,NA,450,1,4499,0,0.3831466871426972,0.806953086419753
4,15,rope,0.65,TRUE,MSC,1,31.272391619571437,24.433273202564575,8.861524523063913,4950,0.1666975365808483,NA,450,1,4499,0,0.3831466871426972,0.806953086419753
4,15,rope,0.8,TRUE,MSC,1,31.272391619571437,24.433273202564575,8.861524523063913,4950,0.1666975365808483,NA,450,1,4499,0,0.3831466871426972,0.806953086419753
4,15,rope,0.2,TRUE,Regression,1,23.154027061537036,24.019674754355055,8.76177138823052,4950,0.16666666666666666,NA,450,0,4500,0,0.35110371420572495,0.8020948148148148
4,15,rope,0.35,TRUE,Regression,1,23.11850489240142,24.020595492684738,8.740967926704327,4950,0.16666666666666666,NA,450,0,4500,0,0.3504103986047491,0.8017303703703703
4,15,rope,0.5,TRUE,Regression,1,23.158001702305143,23.986067365165983,8.71606378045762,4950,0.1666975365808483,NA,450,1,4499,0,0.3459142015170653,0.8008192592592592
