model,rep,method,alpha,penalize_diag,target,lambda,KL,L2,SP,edges,F1,MCC,TP,TN,FP,FN,PRAUC,ROCAUC
2,20,glasso,0.2,TRUE,None,0.1188502227437019,32.77655871300689,102.7292288671412,18.179345064952297,571,0.24776119402985075,NA,83,4363,488,16,0.6094782237719698,0.9013699143569273
2,20,glasso,0.35,TRUE,None,0.11220184543019641,30.53153674365518,102.65366320198481,18.163174229673334,648,0.23025435073627845,NA,86,4289,562,13,0.6124787706284597,0.9138977905211672
2,20,glasso,0.5,TRUE,None,0.1188502227437019,32.77655871300689,102.7292288671412,18.179345064952297,571,0.24776119402985075,NA,83,4363,488,16,0.6094782237719698,0.9013699143569273
2,20,glasso,0.65,TRUE,None,0.11220184543019641,30.53153674365518,102.65366320198481,18.163174229673334,648,0.23025435073627845,NA,86,4289,562,13,0.6124787706284597,0.9138977905211672
2,20,glasso,0.8,TRUE,None,0.11220184543019641,30.53153674365518,102.65366320198481,18.163174229673334,648,0.23025435073627845,NA,86,4289,562,13,0.6124787706284597,0.9138977905211672
2,20,glasso,0.2,TRUE,Identity,0.1412537544622754,40.46032791971345,102.12208197931996,18.106660366128494,351,0.3511111111111111,NA,79,4579,272,20,0.6145836868487948,0.8864942977497091
2,20,glasso,0.35,TRUE,Identity,0.1412537544622754,40.46032791971345,102.12208197931996,18.106660366128494,351,0.3511111111111111,NA,79,4579,272,20,0.6145836868487948,0.8864942977497091
2,20,glasso,0.5,TRUE,Identity,0.1412537544622754,40.46032791971345,102.12208197931996,18.106660366128494,351,0.3511111111111111,NA,79,4579,272,20,0.6145836868487948,0.8864942977497091
2,20,glasso,0.65,TRUE,Identity,0.1412537544622754,40.46032791971345,102.12208197931996,18.106660366128494,351,0.3511111111111111,NA,79,4579,272,20,0.6145836868487948,0.8864942977497091
2,20,glasso,0.8,TRUE,Identity,0.14962356560944343,45.04922193738187,102.12809670272935,18.1161668796424,293,0.39285714285714285,NA,77,4635,216,22,0.6132492970937888,0.8779737178005576
2,20,glasso,0.2,TRUE,vIdentity,0.1412537544622754,40.46032791971345,102.12208197931996,18.106660366128494,351,0.3511111111111111,NA,79,4579,272,20,0.6145836868487948,0.8864942977497091
2,20,glasso,0.35,TRUE,vIdentity,0.1333521432163324,36.759951816601614,102.11616580601323,18.095858718318873,426,0.30857142857142855,NA,81,4506,345,18,0.616881869378648,0.894810816888739
2,20,glasso,0.5,TRUE,vIdentity,0.1412537544622754,40.46032791971345,102.12208197931996,18.106660366128494,351,0.3511111111111111,NA,79,4579,272,20,0.6145836868487948,0.8864942977497091
2,20,glasso,0.65,TRUE,vIdentity,0.14962356560944343,45.04922193738187,102.12809670272935,18.1161668796424,293,0.39285714285714285,NA,77,4635,216,22,0.6132492970937888,0.8779737178005576
2,20,glasso,0.8,TRUE,vIdentity,0.1412537544622754,40.46032791971345,102.12208197931996,18.106660366128494,351,0.3511111111111111,NA,79,4579,272,20,0.6145836868487948,0.8864942977497091
2,20,glasso,0.2,TRUE,Eigenvalue,0.1412537544622754,27.40777160224266,100.69399680216438,17.923061297523624,347,0.3542600896860987,NA,79,4583,268,20,0.6105773293756956,0.886704605319324
2,20,glasso,0.35,TRUE,Eigenvalue,0.14962356560944343,28.210062824013107,100.64727478414444,17.927171415262865,278,0.40848806366047746,NA,77,4650,201,22,0.6116054812949606,0.8784921988385191
2,20,glasso,0.5,TRUE,Eigenvalue,0.1412537544622754,27.40777160224266,100.69399680216438,17.923061297523624,347,0.3542600896860987,NA,79,4583,268,20,0.6105773293756956,0.886704605319324
