model,rep,method,alpha,penalize_diag,target,lambda,KL,L2,SP,edges,F1,MCC,TP,TN,FP,FN,PRAUC,ROCAUC
6,46,glasso,0.2,TRUE,None,0.1188502227437019,293.42207595969234,722.4991293519943,158.08143836043644,583,0.29238329238329236,NA,119,4255,464,112,0.28294384850812415,0.7188321320552725
6,46,glasso,0.35,TRUE,None,0.1188502227437019,293.42207595969234,722.4991293519943,158.08143836043644,583,0.29238329238329236,NA,119,4255,464,112,0.28294384850812415,0.7188321320552725
6,46,glasso,0.5,TRUE,None,0.12589254117941676,294.11808814378065,722.5915661282588,158.09930268553182,488,0.28929068150208626,NA,104,4335,384,127,0.2801137604168362,0.6935942845033755
6,46,glasso,0.65,TRUE,None,0.12589254117941676,294.11808814378065,722.5915661282588,158.09930268553182,488,0.28929068150208626,NA,104,4335,384,127,0.2801137604168362,0.6935942845033755
6,46,glasso,0.8,TRUE,None,0.12589254117941676,294.11808814378065,722.5915661282588,158.09930268553182,488,0.28929068150208626,NA,104,4335,384,127,0.2801137604168362,0.6935942845033755
6,46,glasso,0.2,TRUE,Identity,0.15848931924611143,283.6369616587091,721.8353778428273,158.02358939255032,191,0.3412322274881517,NA,72,4600,119,159,0.31496917490909604,0.644625347104686
6,46,glasso,0.35,TRUE,Identity,0.16788040181225605,283.47441160471834,721.8455119938693,158.03225384274901,157,0.3247422680412371,NA,63,4625,94,168,0.3167599817497358,0.6274414290943217
6,46,glasso,0.5,TRUE,Identity,0.14962356560944343,283.8314971581132,721.8241891708977,158.01404913653082,256,0.3490759753593429,NA,85,4548,171,146,0.30809643554518895,0.6682436021278995
6,46,glasso,0.65,TRUE,Identity,0.15848931924611143,283.6369616587091,721.8353778428273,158.02358939255032,191,0.3412322274881517,NA,72,4600,119,159,0.31496917490909604,0.644625347104686
6,46,glasso,0.8,TRUE,Identity,0.14962356560944343,283.8314971581132,721.8241891708977,158.01404913653082,256,0.3490759753593429,NA,85,4548,171,146,0.30809643554518895,0.6682436021278995
6,46,glasso,0.2,TRUE,vIdentity,0.15848931924611143,283.6369616587091,721.8353778428273,158.02358939255032,191,0.3412322274881517,NA,72,4600,119,159,0.31496917490909604,0.644625347104686
6,46,glasso,0.35,TRUE,vIdentity,0.14962356560944343,283.8314971581132,721.8241891708977,158.01404913653082,256,0.3490759753593429,NA,85,4548,171,146,0.30809643554518895,0.6682436021278995
6,46,glasso,0.5,TRUE,vIdentity,0.14962356560944343,283.8314971581132,721.8241891708977,158.01404913653082,256,0.3490759753593429,NA,85,4548,171,146,0.30809643554518895,0.6682436021278995
6,46,glasso,0.65,TRUE,vIdentity,0.14962356560944343,283.8314971581132,721.8241891708977,158.01404913653082,256,0.3490759753593429,NA,85,4548,171,146,0.30809643554518895,0.6682436021278995
6,46,glasso,0.8,TRUE,vIdentity,0.15848931924611143,283.6369616587091,721.8353778428273,158.02358939255032,191,0.3412322274881517,NA,72,4600,119,159,0.31496917490909604,0.644625347104686
6,46,glasso,0.2,TRUE,Eigenvalue,0.1412537544622754,267.96128140286413,720.2208348512243,157.77886428171047,321,0.322463768115942,NA,89,4487,232,142,0.2919465624636036,0.6724671104836395
6,46,glasso,0.35,TRUE,Eigenvalue,0.14962356560944343,267.10280422657695,720.1814817405233,157.78270354679708,256,0.3490759753593429,NA,85,4548,171,146,0.307256030906715,0.6682353459212962
6,46,glasso,0.5,TRUE,Eigenvalue,0.1412537544622754,267.96128140286413,720.2208348512243,157.77886428171047,321,0.322463768115942,NA,89,4487,232,142,0.2919465624636036,0.6724671104836395
