model,rep,method,alpha,penalize_diag,target,lambda,KL,L2,SP,edges,F1,MCC,TP,TN,FP,FN,PRAUC,ROCAUC
5,39,glasso,0.2,TRUE,None,0.04466835921509633,44.15667588306377,137.49853084110637,43.13103138885121,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.35,TRUE,None,0.04466835921509633,44.15667588306377,137.49853084110637,43.13103138885121,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.5,TRUE,None,0.04466835921509633,44.15667588306377,137.49853084110637,43.13103138885121,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.65,TRUE,None,0.04466835921509633,44.15667588306377,137.49853084110637,43.13103138885121,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.8,TRUE,None,0.04466835921509633,44.15667588306377,137.49853084110637,43.13103138885121,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.2,TRUE,Identity,0.04466835921509633,44.15667509602565,137.49853097197683,43.13103135223085,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.35,TRUE,Identity,0.04731512589614805,42.7896422994848,137.9886837076706,43.25445206936651,1611,0.2180409518539015,NA,197,3340,1413,0,0.956849788451985,0.9983115125792846
5,39,glasso,0.5,TRUE,Identity,0.04466835921509633,44.15667509602565,137.49853097197683,43.13103135223085,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.65,TRUE,Identity,0.04466835921509633,44.15667509602565,137.49853097197683,43.13103135223085,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.8,TRUE,Identity,0.04466835921509633,44.15667509602565,137.49853097197683,43.13103135223085,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.2,TRUE,vIdentity,0.04466835921509633,44.15667509602565,137.49853097197683,43.13103135223085,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.35,TRUE,vIdentity,0.04466835921509633,44.15667509602565,137.49853097197683,43.13103135223085,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.5,TRUE,vIdentity,0.04731512589614805,42.7896422994848,137.9886837076706,43.25445206936651,1611,0.2180409518539015,NA,197,3340,1413,0,0.956849788451985,0.9983115125792846
5,39,glasso,0.65,TRUE,vIdentity,0.04731512589614805,42.7896422994848,137.9886837076706,43.25445206936651,1611,0.2180409518539015,NA,197,3340,1413,0,0.956849788451985,0.9983115125792846
5,39,glasso,0.8,TRUE,vIdentity,0.04466835921509633,44.15667509602565,137.49853097197683,43.13103135223085,1695,0.20824524312896406,NA,197,3255,1498,0,0.9642115100254246,0.9986447245180976
5,39,glasso,0.2,TRUE,Eigenvalue,0.07943282347242818,53.76474862508323,134.83532792991087,42.603303417469505,933,0.3486725663716814,NA,197,4017,736,0,0.93749034662892194,0.997371684033915
5,39,glasso,0.35,TRUE,Eigenvalue,0.07498942093324558,55.67902660803995,134.39403116642984,42.48063445312328,991,0.33164983164983164,NA,197,3959,794,0,0.948968427885381,0.9979270372652698
5,39,glasso,0.5,TRUE,Eigenvalue,0.07498942093324558,55.67902660803995,134.39403116642984,42.48063445312328,991,0.33164983164983164,NA,197,3959,794,0,0.948968427885381,0.9979270372652698
5,39,glasso,0.65,TRUE,Eigenvalue,0.07498942093324558,55.67902660803995,134.39403116642984,42.48063445312328,991,0.33164983164983164,NA,197,3959,794,0,0.948968427885381,0.9979270372652698
5,39,glasso,0.8,TRUE,Eigenvalue,0.07498942093324558,55.67902660803995,134.39403116642984,42.48063445312328,991,0.33164983164983164,NA,197,3959,794,0,0.948968427885381,0.9979270372652698
5,39,glasso,0.2,TRUE,MSC,0.04466835921509633,44.1623371917465,137.49689838815218,43.13102935803147,1695,0.20824524312896406,NA,197,3255,1498,0,0.9641990309088602,0.9986436565311142
5,39,glasso,0.35,TRUE,MSC,0.04466835921509633,44.1623371917465,137.49689838815218,43.13102935803147,1695,0.20824524312896406,NA,197,3255,1498,0,0.9641990309088602,0.9986436565311142
5,39,glasso,0.5,TRUE,MSC,0.04466835921509633,44.1623371917465,137.49689838815218,43.13102935803147,1695,0.20824524312896406,NA,197,3255,1498,0,0.9641990309088602,0.9986436565311142
5,39,glasso,0.65,TRUE,MSC,0.04466835921509633,44.1623371917465,137.49689838815218,43.13102935803147,1695,0.20824524312896406,NA,197,3255,1498,0,0.9641990309088602,0.9986436565311142
5,39,glasso,0.8,TRUE,MSC,0.04466835921509633,44.1623371917465,137.49689838815218,43.13102935803147,1695,0.20824524312896406,NA,197,3255,1498,0,0.9641990309088602,0.9986436565311142
5,39,glasso,0.2,TRUE,Regression,0.0707945784384138,41.47830743105234,134.49172256464004,42.368262103835896,1061,0.31319554848966613,NA,197,3889,864,0,0.9374774081404814,0.996963713006266
5,39,glasso,0.35,TRUE,Regression,0.0707945784384138,41.45102884378687,134.49341926853575,42.368267972762695,1061,0.31319554848966613,NA,197,3889,864,0,0.9374177321949593,0.9969615770322992
5,39,glasso,0.5,TRUE,Regression,0.0707945784384138,41.5035703265072,134.49067563337556,42.36827719083208,1061,0.3134447096260939,NA,197,3890,863,0,0.9375476529263296,0.9969679849541995
5,39,glasso,0.65,TRUE,Regression,0.0707945784384138,41.52542677746379,134.4909448086786,42.36826422658532,1061,0.3134447096260939,NA,197,3890,863,0,0.9376819814490062,0.9969786648240332
5,39,glasso,0.8,TRUE,Regression,0.07498942093324558,40.2526370790182,134.92639496183446,42.48969921169714,996,0.3302598491198659,NA,197,3954,799,0,0.9262566671668047,0.9962556376362885
5,39,glasso,0.2,TRUE,TrueDiag,0.07498942093324558,41.75182676002146,134.8138641463676,42.48851478329353,997,0.32998324958123953,NA,197,3953,800,0,0.9326027987303567,0.9970566278738194
5,39,glasso,0.35,TRUE,TrueDiag,0.0707945784384138,42.73602538687041,134.39081992138352,42.367087484636045,1062,0.31319554848966613,NA,197,3889,864,0,0.9431344546222008,0.9975895533785234
5,39,glasso,0.5,TRUE,TrueDiag,0.0707945784384138,42.73602538687041,134.39081992138352,42.367087484636045,1062,0.31319554848966613,NA,197,3889,864,0,0.9431344546222008,0.9975895533785234
5,39,glasso,0.65,TRUE,TrueDiag,0.0707945784384138,42.73602538687041,134.39081992138352,42.367087484636045,1062,0.31319554848966613,NA,197,3889,864,0,0.9431344546222008,0.9975895533785234
5,39,glasso,0.8,TRUE,TrueDiag,0.0707945784384138,42.73602538687041,134.39081992138352,42.367087484636045,1062,0.31319554848966613,NA,197,3889,864,0,0.9431344546222008,0.9975895533785234
5,39,glasso,0.2,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
5,39,glasso,0.35,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
5,39,glasso,0.5,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
5,39,glasso,0.65,FALSE,None,0.05956621435290106,45.506766625177534,136.9993637955085,43.05469550648697,1289,0.2651413189771198,NA,197,3661,1092,0,0.9501311519977451,0.9979953884322058
5,39,glasso,0.8,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
5,39,glasso,0.2,FALSE,None,0.05956621435290106,45.506766625177534,136.9993637955085,43.05469550648697,1289,0.2651413189771198,NA,197,3661,1092,0,0.9501311519977451,0.9979953884322058
5,39,glasso,0.35,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
5,39,glasso,0.5,FALSE,None,0.05956621435290106,45.506766625177534,136.9993637955085,43.05469550648697,1289,0.2651413189771198,NA,197,3661,1092,0,0.9501311519977451,0.9979953884322058
5,39,glasso,0.65,FALSE,None,0.05956621435290106,45.506766625177534,136.9993637955085,43.05469550648697,1289,0.2651413189771198,NA,197,3661,1092,0,0.9501311519977451,0.9979953884322058
5,39,glasso,0.8,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
5,39,glasso,0.2,FALSE,None,0.05956621435290106,45.506766625177534,136.9993637955085,43.05469550648697,1289,0.2651413189771198,NA,197,3661,1092,0,0.9501311519977451,0.9979953884322058
5,39,glasso,0.35,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
5,39,glasso,0.5,FALSE,None,0.05956621435290106,45.506766625177534,136.9993637955085,43.05469550648697,1289,0.2651413189771198,NA,197,3661,1092,0,0.9501311519977451,0.9979953884322058
5,39,glasso,0.65,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
5,39,glasso,0.8,FALSE,None,0.05956621435290106,45.506766625177534,136.9993637955085,43.05469550648697,1289,0.2651413189771198,NA,197,3661,1092,0,0.9501311519977451,0.9979953884322058
5,39,glasso,0.2,FALSE,None,0.05623413251903491,47.050559681474596,136.52468458690413,42.93104761802778,1353,0.2543576500968367,NA,197,3598,1155,0,0.9588637721729086,0.9983937475770045
