model,rep,method,alpha,penalize_diag,target,lambda,KL,L2,SP,edges,F1,MCC,TP,TN,FP,FN,PRAUC,ROCAUC
5,34,glasso,0.2,TRUE,None,0.04466835921509633,40.13451487153898,149.35393002629405,46.10720812282254,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.35,TRUE,None,0.04466835921509633,40.13451487153898,149.35393002629405,46.10720812282254,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.5,TRUE,None,0.04466835921509633,40.13451487153898,149.35393002629405,46.10720812282254,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.65,TRUE,None,0.042169650342858224,40.75576211259863,148.83411886858838,45.99411694232494,1798,0.19769192172604114,NA,197,3154,1599,0,0.9430141042946544,0.9973759559818485
5,34,glasso,0.8,TRUE,None,0.042169650342858224,40.75576211259863,148.83411886858838,45.99411694232494,1798,0.19769192172604114,NA,197,3154,1599,0,0.9430141042946544,0.9973759559818485
5,34,glasso,0.2,TRUE,Identity,0.042169650342858224,40.75576294946208,148.83411913113318,45.994117101479155,1798,0.19769192172604114,NA,197,3154,1599,0,0.9430141042946544,0.9973759559818485
5,34,glasso,0.35,TRUE,Identity,0.04466835921509633,40.13451537056213,149.35393042789804,46.10720823112487,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.5,TRUE,Identity,0.039810717055349734,41.50627674294563,148.31017679054125,45.878708349552745,1873,0.19033816425120773,NA,197,3077,1676,0,0.9496744585689113,0.9977497514260296
5,34,glasso,0.65,TRUE,Identity,0.04466835921509633,40.13451537056213,149.35393042789804,46.10720823112487,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.8,TRUE,Identity,0.04466835921509633,40.13451537056213,149.35393042789804,46.10720823112487,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.2,TRUE,vIdentity,0.04466835921509633,40.13451537056213,149.35393042789804,46.10720823112487,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.35,TRUE,vIdentity,0.042169650342858224,40.75576294946208,148.83411913113318,45.994117101479155,1798,0.19769192172604114,NA,197,3154,1599,0,0.9430141042946544,0.9973759559818485
5,34,glasso,0.5,TRUE,vIdentity,0.04466835921509633,40.13451537056213,149.35393042789804,46.10720823112487,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.65,TRUE,vIdentity,0.04466835921509633,40.13451537056213,149.35393042789804,46.10720823112487,1714,0.20617477760334904,NA,197,3236,1517,0,0.9361396186632093,0.9969541011234155
5,34,glasso,0.8,TRUE,vIdentity,0.042169650342858224,40.75576294946208,148.83411913113318,45.994117101479155,1798,0.19769192172604114,NA,197,3154,1599,0,0.9430141042946544,0.9973759559818485
5,34,glasso,0.2,TRUE,Eigenvalue,0.07498942093324558,46.16421588685688,146.02337601045855,45.45059951201193,1006,0.3258520365752286,NA,196,3943,810,1,0.9194845310037484,0.9936438754684457
5,34,glasso,0.35,TRUE,Eigenvalue,0.07498942093324558,46.16421588685688,146.02337601045855,45.45059951201193,1006,0.3258520365752286,NA,196,3943,810,1,0.9194845310037484,0.9936438754684457
5,34,glasso,0.5,TRUE,Eigenvalue,0.07498942093324558,46.16421588685688,146.02337601045855,45.45059951201193,1006,0.3258520365752286,NA,196,3943,810,1,0.9194845310037484,0.9936438754684457
5,34,glasso,0.65,TRUE,Eigenvalue,0.0707945784384138,47.119734439047875,145.56116686042992,45.34227889185054,1074,0.3099921321793863,NA,197,3876,877,0,0.9303221348768893,0.9963218528292577
5,34,glasso,0.8,TRUE,Eigenvalue,0.07498942093324558,46.16421588685688,146.02337601045855,45.45059951201193,1006,0.3258520365752286,NA,196,3943,810,1,0.9194845310037484,0.9936438754684457
5,34,glasso,0.2,TRUE,MSC,0.04466835921509633,40.13672690330134,149.34555513236162,46.10700528729377,1714,0.20628272251308902,NA,197,3237,1516,0,0.9361481965493265,0.9969541011234155
5,34,glasso,0.35,TRUE,MSC,0.04466835921509633,40.13672690330134,149.34555513236162,46.10700528729377,1714,0.20628272251308902,NA,197,3237,1516,0,0.9361481965493265,0.9969541011234155
5,34,glasso,0.5,TRUE,MSC,0.04466835921509633,40.13672690330134,149.34555513236162,46.10700528729377,1714,0.20628272251308902,NA,197,3237,1516,0,0.9361481965493265,0.9969541011234155
5,34,glasso,0.65,TRUE,MSC,0.04466835921509633,40.13672690330134,149.34555513236162,46.10700528729377,1714,0.20628272251308902,NA,197,3237,1516,0,0.9361481965493265,0.9969541011234155
5,34,glasso,0.8,TRUE,MSC,0.042169650342858224,40.758129963760695,148.8278714592015,45.99394059138843,1796,0.19769192172604114,NA,197,3154,1599,0,0.9430306290069277,0.9973759559818485
5,34,glasso,0.2,TRUE,Regression,0.0707945784384138,40.22737417416769,145.8808417531576,45.34240022782631,1081,0.3082942097026604,NA,197,3869,884,0,0.9191986495366281,0.9950979397463103
5,34,glasso,0.35,TRUE,Regression,0.0707945784384138,40.251862759381254,145.87545243635688,45.342383911938256,1081,0.30853563038371185,NA,197,3870,883,0,0.9193233294481128,0.995105415655194
5,34,glasso,0.5,TRUE,Regression,0.07498942093324558,40.16400210927554,146.32514644885694,45.45070960877833,1014,0.3236994219653179,NA,196,3935,818,1,0.9082514970208636,0.9921561696006048
5,34,glasso,0.65,TRUE,Regression,0.0707945784384138,40.27055841198822,145.87920384377503,45.342406982209525,1079,0.30877742946708464,NA,197,3871,882,0,0.9191552132456008,0.9950851239025099
5,34,glasso,0.8,TRUE,Regression,0.07498942093324558,39.95696936698536,146.3409341248647,45.45068497850931,1014,0.3236994219653179,NA,196,3935,818,1,0.9077904623867111,0.9921369458349041
5,34,glasso,0.2,TRUE,TrueDiag,0.0707945784384138,40.85906024811845,145.81331610577143,45.342374115021485,1079,0.30877742946708464,NA,197,3871,882,0,0.9209693776745295,0.9952378460411324
5,34,glasso,0.35,TRUE,TrueDiag,0.0707945784384138,40.85906024811845,145.81331610577143,45.342374115021485,1079,0.30877742946708464,NA,197,3871,882,0,0.9209693776745295,0.9952378460411324
5,34,glasso,0.5,TRUE,TrueDiag,0.0707945784384138,40.85906024811845,145.81331610577143,45.342374115021485,1079,0.30877742946708464,NA,197,3871,882,0,0.9209693776745295,0.9952378460411324
