model,method,target,penalize_diag,KL,KL,L2,L2,SP,SP,F1,F1,MCC,MCC,score,rank
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,,
1,gelnet,Eigenvalue,True,111.5133487189144,14.645025938603299,12.675924693205564,1.9865476197143281,2.6258989911535466,0.3447979981677703,0.5258262424541202,0.01637802142585453,,,,
1,gelnet,Identity,True,37.554122550801,5.598731107375515,6.296847745962845,0.5824902072022025,1.3370770213254801,0.07631355616382829,0.5295886776926175,0.008056795328912437,,,,
1,gelnet,MSC,True,39.43011265318711,5.72837636884452,5.976101828991403,0.5321575241083295,1.2676167652531227,0.08297240957023538,0.5089278006875545,0.0058883936653939305,,,,
1,gelnet,Regression,True,59.20903476954146,21.858213953642842,5.594073059972223,0.1519936875376187,1.1737489524129483,0.0412345471949262,0.5688501625068768,0.06493507852021443,,,,
1,gelnet,TrueDiag,True,107.61416346391772,18.860196453658922,3.82584881561154,0.16957088174206206,0.8639855665870004,0.05040956078361687,0.6602454070879564,0.02275054867767886,,,,
1,gelnet,vIdentity,True,37.36050826615799,5.5224019057793825,6.302861782140788,0.5770496418329891,1.3368580303282989,0.07606474209467556,0.5286884939019586,0.00783950044769631,,,,
1,glasso,Eigenvalue,True,79.05357028181615,10.87242252962938,8.68885666881894,1.1836748989257577,2.0574285713380167,0.31315014464306984,0.39635966149143714,0.005651871995255775,,,,
1,glasso,Identity,True,42.02509416098091,6.381523278059679,6.219540874327416,0.37774945876686605,1.293243926227962,0.0737960351484981,0.4560498170793268,0.005683020809447969,,,,
1,glasso,MSC,True,41.98432699103284,6.1660730926690555,6.2255633520418,0.3872498566906893,1.2930181748770286,0.07564944028845684,0.45587529093767415,0.00583849491600803,,,,
1,glasso,Regression,True,45.13577851021844,7.557816475793481,6.194011464445396,0.2697069338665712,1.2740546580107535,0.059611546260148765,0.44917719987953225,0.009811214140602332,,,,
1,glasso,TrueDiag,True,60.20931236343521,10.341429574138946,5.905075699632809,0.1486992925274701,1.1560276119255968,0.04222677904634677,0.42664884614444687,0.013340303113398627,,,,
1,glasso,vIdentity,True,41.92937723633885,6.165107023049261,6.23094470229915,0.3947173149129459,1.2938030637264657,0.07433256298420436,0.45578469937924765,0.005713284900844266,,,,
1,rope,Eigenvalue,True,175.05768553612614,22.18397560307986,22.705205241465347,2.456079237207422,4.409687792400375,0.4786996955998882,0.9999737341083109,5.1009833128751343e-05,,,,
1,rope,Identity,True,38.401190843528575,6.063213983163029,8.279328809030828,0.4368904403007441,1.6910280287908233,0.05799123841697053,0.9999454449524317,8.176669950551608e-05,,,,
1,rope,MSC,True,30.971349202271917,4.701761256134599,6.191577050721089,0.8906341325031055,1.1364626174043018,0.10776987480028828,0.9998757274670447,0.00012174985859641806,,,,
1,rope,Regression,True,39.92435224026159,8.185720957570469,4.529877377102454,0.23083947609814257,1.0070861396116462,0.04906674076535673,0.9999040229530786,9.124908705703058e-05,,,,
1,rope,TrueDiag,True,62.36214514763008,11.972302040873805,2.343929683642185,0.15584532593023478,0.6080949677095758,0.0608322121767776,0.9998979603056675,9.579396701813492e-05,,,,
1,rope,vIdentity,True,38.496316446143,5.946260429648217,8.275390999233785,0.44264050653897236,1.6910592453887154,0.0579637215143508,0.9999575694305775,6.762760994942274e-05,,,,
