model,method,target,penalize_diag,KL,KL,L2,L2,SP,SP,F1,F1,MCC,MCC
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
1,gelnet,Eigenvalue,True,111.5133487189144,14.645025938603299,12.675924693205564,1.9865476197143281,2.6258989911535466,0.3447979981677703,0.5258262424541202,0.01637802142585453,,
1,gelnet,Identity,True,37.554122550801,5.598731107375515,6.296847745962845,0.5824902072022025,1.3370770213254801,0.07631355616382829,0.5295886776926175,0.008056795328912437,,
1,gelnet,MSC,True,39.43011265318711,5.72837636884452,5.976101828991403,0.5321575241083295,1.2676167652531227,0.08297240957023538,0.5089278006875545,0.0058883936653939305,,
1,gelnet,Regression,True,59.20903476954146,21.858213953642842,5.594073059972223,0.1519936875376187,1.1737489524129483,0.0412345471949262,0.5688501625068768,0.06493507852021443,,
1,gelnet,TrueDiag,True,107.61416346391772,18.860196453658922,3.82584881561154,0.16957088174206206,0.8639855665870004,0.05040956078361687,0.6602454070879564,0.02275054867767886,,
1,gelnet,vIdentity,True,37.36050826615799,5.5224019057793825,6.302861782140788,0.5770496418329891,1.3368580303282989,0.07606474209467556,0.5286884939019586,0.00783950044769631,,
1,glasso,Eigenvalue,True,79.05357028181615,10.87242252962938,8.68885666881894,1.1836748989257577,2.0574285713380167,0.31315014464306984,0.39635966149143714,0.005651871995255775,,
1,glasso,Identity,True,42.02509416098091,6.381523278059679,6.219540874327416,0.37774945876686605,1.293243926227962,0.0737960351484981,0.4560498170793268,0.005683020809447969,,
1,glasso,MSC,True,41.98432699103284,6.1660730926690555,6.2255633520418,0.3872498566906893,1.2930181748770286,0.07564944028845684,0.45587529093767415,0.00583849491600803,,
1,glasso,Regression,True,45.13577851021844,7.557816475793481,6.194011464445396,0.2697069338665712,1.2740546580107535,0.059611546260148765,0.44917719987953225,0.009811214140602332,,
1,glasso,TrueDiag,True,60.20931236343521,10.341429574138946,5.905075699632809,0.1486992925274701,1.1560276119255968,0.04222677904634677,0.42664884614444687,0.013340303113398627,,
1,glasso,vIdentity,True,41.92937723633885,6.165107023049261,6.23094470229915,0.3947173149129459,1.2938030637264657,0.07433256298420436,0.45578469937924765,0.005713284900844266,,
1,rope,Eigenvalue,True,175.05768553612614,22.18397560307986,22.705205241465347,2.456079237207422,4.409687792400375,0.4786996955998882,0.9999737341083109,5.1009833128751343e-05,,
1,rope,Identity,True,38.401190843528575,6.063213983163029,8.279328809030828,0.4368904403007441,1.6910280287908233,0.05799123841697053,0.9999454449524317,8.176669950551608e-05,,
1,rope,MSC,True,30.971349202271917,4.701761256134599,6.191577050721089,0.8906341325031055,1.1364626174043018,0.10776987480028828,0.9998757274670447,0.00012174985859641806,,
1,rope,Regression,True,39.92435224026159,8.185720957570469,4.529877377102454,0.23083947609814257,1.0070861396116462,0.04906674076535673,0.9999040229530786,9.124908705703058e-05,,
1,rope,TrueDiag,True,62.36214514763008,11.972302040873805,2.343929683642185,0.15584532593023478,0.6080949677095758,0.0608322121767776,0.9998979603056675,9.579396701813492e-05,,
1,rope,vIdentity,True,38.496316446143,5.946260429648217,8.275390999233785,0.44264050653897236,1.6910592453887154,0.0579637215143508,0.9999575694305775,6.762760994942274e-05,,
2,gelnet,Eigenvalue,True,38.0329842126408,7.812656828100721,80.4802164298283,7.124328637635051,15.266097364710633,1.1867161297714381,0.2000726161667928,0.012889995708012874,0.3013070070152888,0.013944765152639134
2,gelnet,Identity,True,72.78234877339503,13.288708309882331,82.97423444775002,7.0478708086025605,15.753611142046843,1.1935210691809581,0.3298191410881611,0.031478835771719685,0.41576058703637025,0.025728596272522077
2,gelnet,MSC,True,68.37522031185199,13.658319635142458,82.36377177382002,7.098677550242486,15.653135668712242,1.191206326229224,0.3640329155283052,0.036637829266464673,0.4435958692645477,0.032391995467872824
2,gelnet,Regression,True,38.93722928312657,5.251484957154715,75.35283938735189,6.8999656937785705,14.333318745572356,1.1373029155865015,0.06196627918460659,0.0044081082736193,0.10922713360008438,0.01149770164316157
2,gelnet,TrueDiag,True,43.4791248522854,7.192759879708058,75.07656829862675,6.985646815321815,14.266001164295453,1.1436780271476297,0.05758554371797977,0.003611431134429946,0.09791230347403976,0.01068378006113382
2,gelnet,vIdentity,True,73.5459277220752,13.73251302496759,82.97449226621627,7.048581095375198,15.75396801929208,1.1941175369386365,0.33170029521799327,0.030596927474828783,0.41756828412537217,0.024459720542094113
2,glasso,Eigenvalue,True,44.64817218285898,12.762204266235402,81.43279894301001,7.09033300409174,15.466089511024784,1.1906224090567414,0.42322298175554257,0.03776144188846343,0.4902618046276849,0.035129819656336644
2,glasso,Identity,True,67.30791459600046,15.101440400767876,82.96327123861181,7.0502711074059,15.745218398528122,1.1928064015142186,0.3714283807718384,0.03897328540457405,0.44934077066788314,0.03171555129458399
2,glasso,MSC,True,63.891439317688466,15.649367623028223,82.35148611359018,7.1021020490296936,15.6424678165852,1.1924572257653638,0.41500358774835516,0.039588824873657155,0.4832929263423151,0.03494521354233059
2,glasso,Regression,True,57.39357692615,14.524608194521035,81.49432292550011,7.069461805792638,15.465206852426434,1.1895049718511486,0.38629950508773625,0.0377488813155659,0.4609995183982427,0.03249907421712648
2,glasso,TrueDiag,True,57.87153529415479,14.084049906852421,81.45619951830996,7.0845317550177365,15.466894975768751,1.1899329592176437,0.405518085950515,0.034956917431703545,0.47625500333221477,0.03211468489812099
2,glasso,vIdentity,True,67.44283049438502,15.33244830699953,82.96349068356469,7.050437104799389,15.745427067655733,1.193425524430396,0.3716467920914006,0.037542265010441674,0.4494138565717406,0.030263581088812115
