model,rep,method,alpha,penalize_diag,target,lambda,KL,L2,SP,edges,F1,MCC,TP,TN,FP,FN,PRAUC,ROCAUC
4,90,glasso,1,TRUE,None,0.1188502227437019,23.828403127338092,25.70751647418895,9.389805104159766,556,0.3379721669980119,NA,170,4114,386,280,0.32770780403953625,0.6526123456790124
4,90,glasso,1,TRUE,Identity,0.15848931924611143,26.047919462944364,25.668020413364548,9.369456401484477,198,0.2839506172839506,NA,92,4394,106,358,0.3531915050589642,0.5912597530864198
4,90,glasso,1,TRUE,vIdentity,0.14962356560944343,25.996137554502255,25.622798390464478,9.355165692039284,251,0.31383737517831667,NA,110,4359,141,340,0.3503155550672924,0.6076864197530863
4,90,glasso,1,TRUE,Eigenvalue,0.1412537544622754,33.1638012372635,25.08610968483175,9.135575220374665,310,0.3368421052631579,NA,128,4318,182,322,0.3483476646536218,0.6236419753086421
4,90,glasso,1,TRUE,MSC,0.1412537544622754,27.82357298404048,25.423108883873326,9.286151283777858,311,0.3363994743758213,NA,128,4317,183,322,0.3475114005243408,0.6235535802469135
4,90,glasso,1,TRUE,Regression,0.12589254117941676,21.58884628465961,25.046892211066627,9.15460741041192,466,0.34497816593886466,NA,158,4192,308,292,0.32920940804661764,0.6456567901234569
4,90,glasso,1,TRUE,TrueDiag,0.14962356560944343,24.991273133090104,25.146654632978983,9.18711500875413,251,0.31383737517831667,NA,110,4359,141,340,0.3490746822727186,0.607678024691358
4,90,glasso,1,FALSE,None,0.15848931924611143,26.319489325623564,25.649522788682603,9.365787988719129,198,0.2839506172839506,NA,92,4394,106,358,0.35346753364311534,0.5912641975308642
4,90,glasso,1,FALSE,None,0.16788040181225605,26.313711556733892,25.696330014775214,9.378514571581626,151,0.259567387687188,NA,78,4427,73,372,0.36806082853489536,0.5789762962962962
4,90,glasso,1,FALSE,None,0.15848931924611143,26.319489325623564,25.649522788682603,9.365787988719129,198,0.2839506172839506,NA,92,4394,106,358,0.35346753364311534,0.5912641975308642
4,90,glasso,1,FALSE,None,0.15848931924611143,26.319489325623564,25.649522788682603,9.365787988719129,198,0.2839506172839506,NA,92,4394,106,358,0.35346753364311534,0.5912641975308642
4,90,glasso,1,FALSE,None,0.14962356560944343,26.362228680777548,25.59696528461146,9.349528880555907,251,0.31383737517831667,NA,110,4359,141,340,0.3503698222241461,0.6076883950617283
4,90,glasso,1,FALSE,None,0.15848931924611143,26.319489325623564,25.649522788682603,9.365787988719129,198,0.2839506172839506,NA,92,4394,106,358,0.35346753364311534,0.5912641975308642
4,90,glasso,1,FALSE,None,0.14962356560944343,26.362228680777548,25.59696528461146,9.349528880555907,251,0.31383737517831667,NA,110,4359,141,340,0.3503698222241461,0.6076883950617283
4,90,rope,0,TRUE,None,0.3981071705534973,27.79359908802502,24.605279038960923,8.960877907390742,4950,0.1666975365808483,NA,450,1,4499,0,0.5889665650238567,0.8875308641975309
4,90,rope,0,TRUE,Identity,1,30.00670461417249,24.447789596015532,8.885200134532994,4950,0.16672841793256762,NA,450,2,4498,0,0.43851713185762037,0.8178424691358025
4,90,rope,0,TRUE,vIdentity,1,30.00670461417249,24.447789596015532,8.885200134532994,4950,0.16672841793256762,NA,450,2,4498,0,0.43851713185762037,0.8178424691358025
4,90,rope,0,TRUE,Eigenvalue,0.03758374042884443,113.23041068916163,19.150153475899284,4.994460038367133,4950,0.16666666666666666,NA,450,0,4500,0,0.9258760168526998,0.9837061728395062
4,90,rope,0,TRUE,MSC,1,30.997016469881515,24.37021825568179,8.854349421250879,4950,0.1666975365808483,NA,450,1,4499,0,0.4350487285437712,0.8160711111111111
4,90,rope,0,TRUE,Regression,1,22.661474716250837,23.96094913521967,8.69990200144228,4950,0.16672841793256762,NA,450,2,4498,0,0.40534271485474355,0.8129995061728396
4,90,rope,0,TRUE,TrueDiag,0.8912509381337459,33.22121283802821,22.792851740756735,8.03274970825566,4950,0.1664504170528267,NA,449,4,4496,1,0.37705982019759093,0.7983412345679012
4,90,rope,0,FALSE,None,0.3981071705534973,27.79359908802502,24.605279038960923,8.960877907390742,4950,0.1666975365808483,NA,450,1,4499,0,0.5889665650238567,0.8875308641975309
4,90,rope,0,FALSE,None,0.3981071705534973,27.79359908802502,24.605279038960923,8.960877907390742,4950,0.1666975365808483,NA,450,1,4499,0,0.5889665650238567,0.8875308641975309
4,90,rope,0,FALSE,None,0.4216965034285822,27.393224870225836,24.709365758885806,8.998809074258117,4950,0.16666666666666666,NA,450,0,4500,0,0.5814899215966408,0.8844997530864198
4,90,rope,0,FALSE,None,0.3981071705534973,27.79359908802502,24.605279038960923,8.960877907390742,4950,0.1666975365808483,NA,450,1,4499,0,0.5889665650238567,0.8875308641975309
4,90,rope,0,FALSE,None,0.3981071705534973,27.79359908802502,24.605279038960923,8.960877907390742,4950,0.1666975365808483,NA,450,1,4499,0,0.5889665650238567,0.8875308641975309
4,90,rope,0,FALSE,None,0.3981071705534973,27.79359908802502,24.605279038960923,8.960877907390742,4950,0.1666975365808483,NA,450,1,4499,0,0.5889665650238567,0.8875308641975309
4,90,rope,0,FALSE,None,0.3981071705534973,27.79359908802502,24.605279038960923,8.960877907390742,4950,0.1666975365808483,NA,450,1,4499,0,0.5889665650238567,0.8875308641975309
4,90,gelnet,0.5,TRUE,None,0.18836490894898,23.298827732832336,25.657212136062284,9.36705985456472,991,0.34444444444444444,NA,248,3758,742,202,0.339981023128794,0.7097792592592592
