model,rep,method,alpha,penalize_diag,target,lambda,KL,L2,SP,edges,F1,MCC,TP,TN,FP,FN,PRAUC,ROCAUC
2,88,glasso,1,TRUE,None,0.11220184543019641,92.45478323126116,80.0258622636605,14.91548504763178,645,0.261455525606469,NA,97,4305,546,2,0.8534467138306092,0.9832232862535892
2,88,glasso,1,TRUE,Identity,0.1412537544622754,83.7469205041738,79.53081069253508,14.864526109603997,345,0.42342342342342343,NA,94,4600,251,5,0.8492513537597025,0.9698177403805108
2,88,glasso,1,TRUE,vIdentity,0.1412537544622754,83.7469205041738,79.53081069253508,14.864526109603997,345,0.42342342342342343,NA,94,4600,251,5,0.8492513537597025,0.9698177403805108
2,88,glasso,1,TRUE,Eigenvalue,0.1412537544622754,78.0735019516884,78.07135528673382,14.651203871559666,328,0.43559718969555034,NA,93,4616,235,6,0.8499508904083971,0.9652576059502467
2,88,glasso,1,TRUE,MSC,0.14962356560944343,80.3034187528724,79.00386446319482,14.813524940448358,276,0.48533333333333334,NA,91,4666,185,8,0.8420862458144476,0.9557937653175749
2,88,glasso,1,TRUE,Regression,0.1412537544622754,75.95250429581577,78.11218937073886,14.6518357298068,340,0.4246575342465753,NA,93,4605,246,6,0.8370083900435146,0.9647890989882332
2,88,glasso,1,TRUE,TrueDiag,0.1333521432163324,78.05822287053269,78.10606783071158,14.644029934051975,405,0.373015873015873,NA,94,4540,311,5,0.8462686126719164,0.9695512119754544
2,88,glasso,1,FALSE,None,0.1412537544622754,83.26879438417745,79.3612875982261,14.84530302086502,338,0.43119266055045874,NA,94,4608,243,5,0.8493700440845368,0.9699145651526604
2,88,glasso,1,FALSE,None,0.1412537544622754,83.26879438417745,79.3612875982261,14.84530302086502,338,0.43119266055045874,NA,94,4608,243,5,0.8493700440845368,0.9699145651526604
2,88,glasso,1,FALSE,None,0.1333521432163324,83.90870584363762,79.3247990561144,14.830527452339368,407,0.3715415019762846,NA,94,4538,313,5,0.8497095936011818,0.9696095150640605
2,88,glasso,1,FALSE,None,0.1412537544622754,83.26879438417745,79.3612875982261,14.84530302086502,338,0.43119266055045874,NA,94,4608,243,5,0.8493700440845368,0.9699145651526604
2,88,glasso,1,FALSE,None,0.1412537544622754,83.26879438417745,79.3612875982261,14.84530302086502,338,0.43119266055045874,NA,94,4608,243,5,0.8493700440845368,0.9699145651526604
2,88,glasso,1,FALSE,None,0.1412537544622754,83.26879438417745,79.3612875982261,14.84530302086502,338,0.43119266055045874,NA,94,4608,243,5,0.8493700440845368,0.9699145651526604
2,88,glasso,1,FALSE,None,0.1412537544622754,83.26879438417745,79.3612875982261,14.84530302086502,338,0.43119266055045874,NA,94,4608,243,5,0.8493700440845368,0.9699145651526604
2,88,rope,0,TRUE,None,0.3981071705534973,54.530627892739176,80.39191013681467,14.919945342874001,4950,0.03923122647117099,NA,99,2,4849,0,0.7931235388557608,0.9772742889626007
2,88,rope,0,TRUE,Identity,1,49.32085695138775,79.09144063524198,14.745182105761796,4950,0.039239001189060645,NA,99,3,4848,0,0.8281704368997639,0.9835085549371264
2,88,rope,0,TRUE,vIdentity,1,49.32085695138775,79.09144063524198,14.745182105761796,4950,0.039239001189060645,NA,99,3,4848,0,0.8281704368997639,0.9835085549371264
2,88,rope,0,TRUE,Eigenvalue,0.19952623149688808,43.31780200191844,74.97460623486518,13.996138379444277,4950,0.0392156862745098,NA,99,0,4851,0,0.7577722462021829,0.9731472631905532
2,88,rope,0,TRUE,MSC,1,46.753867277544174,78.82535916815077,14.716966326468935,4950,0.0392156862745098,NA,99,0,4851,0,0.8318860240557593,0.9835189662029489
2,88,rope,0,TRUE,Regression,0.014125375446227547,75.20215306143757,71.77419245368027,13.454752419103409,4950,0.0392156862745098,NA,99,0,4851,0,0.36649703743235357,0.9107983566858026
2,88,rope,0,TRUE,TrueDiag,0.009440608762859235,79.90093809947655,72.4574221949117,13.492527618642884,4950,0.0392156862745098,NA,99,0,4851,0,0.42515518556913123,0.9064839281289497
2,88,rope,0,FALSE,None,0.3981071705534973,54.530627892739176,80.39191013681467,14.919945342874001,4950,0.03923122647117099,NA,99,2,4849,0,0.7931235388557608,0.9772742889626007
2,88,rope,0,FALSE,None,0.3981071705534973,54.530627892739176,80.39191013681467,14.919945342874001,4950,0.03923122647117099,NA,99,2,4849,0,0.7931235388557608,0.9772742889626007
2,88,rope,0,FALSE,None,0.3981071705534973,54.530627892739176,80.39191013681467,14.919945342874001,4950,0.03923122647117099,NA,99,2,4849,0,0.7931235388557608,0.9772742889626007
2,88,rope,0,FALSE,None,0.3981071705534973,54.530627892739176,80.39191013681467,14.919945342874001,4950,0.03923122647117099,NA,99,2,4849,0,0.7931235388557608,0.9772742889626007
2,88,rope,0,FALSE,None,0.3981071705534973,54.530627892739176,80.39191013681467,14.919945342874001,4950,0.03923122647117099,NA,99,2,4849,0,0.7931235388557608,0.9772742889626007
2,88,rope,0,FALSE,None,0.3981071705534973,54.530627892739176,80.39191013681467,14.919945342874001,4950,0.03923122647117099,NA,99,2,4849,0,0.7931235388557608,0.9772742889626007
2,88,rope,0,FALSE,None,0.3981071705534973,54.530627892739176,80.39191013681467,14.919945342874001,4950,0.03923122647117099,NA,99,2,4849,0,0.7931235388557608,0.9772742889626007
2,88,gelnet,0.5,TRUE,None,0.1778279410038923,92.22175616126407,80.28166272398956,14.940855692448158,1077,0.1649659863945578,NA,97,3871,980,2,0.8531047662816831,0.9822508740257658
2,88,gelnet,0.5,TRUE,Identity,0.25118864315095824,84.25069067109075,79.52860425439346,14.852955158963317,496,0.32605042016806723,NA,97,4452,399,2,0.8507804622161135,0.9832753425827018
2,88,gelnet,0.5,TRUE,vIdentity,0.25118864315095824,84.25069067109075,79.52860425439346,14.852955158963317,496,0.32605042016806723,NA,97,4452,399,2,0.8507804622161135,0.9832753425827018
2,88,gelnet,0.5,TRUE,Eigenvalue,0.19952623149688808,61.04778272232829,77.08520641785904,14.44098992465177,831,0.2086021505376344,NA,97,4117,734,2,0.8531596288719457,0.9828484806839786
2,88,gelnet,0.5,TRUE,MSC,0.25118864315095824,81.37822458277603,78.99573583760238,14.796070014721248,491,0.3288135593220339,NA,97,4457,394,2,0.8461370816274091,0.9832107927346022
2,88,gelnet,0.5,TRUE,Regression,0.05623413251903491,34.50372941065649,72.35838617479175,13.553983511940174,3106,0.06117353308364544,NA,98,1844,3007,1,0.4467788735878735,0.9601633735832871
2,88,gelnet,0.5,TRUE,TrueDiag,0.04731512589614805,37.09528735954936,72.14022773952219,13.470699593799305,3328,0.0571928800700321,NA,98,1621,3230,1,0.47265076159766567,0.9582310426466271
2,88,gelnet,0.5,FALSE,None,0.26607250597988114,83.10505784156652,79.37959465327727,14.842264028373641,420,0.36293436293436293,NA,94,4526,325,5,0.8469108636625389,0.9693919196083697
2,88,gelnet,0.5,FALSE,None,0.26607250597988114,83.10505784156652,79.37959465327727,14.842264028373641,420,0.36293436293436293,NA,94,4526,325,5,0.8469108636625389,0.9693919196083697
2,88,gelnet,0.5,FALSE,None,0.25118864315095824,83.69789309651676,79.34384935804499,14.828990568866907,490,0.3293718166383701,NA,97,4458,393,2,0.8513908599296816,0.9833398924308014
2,88,gelnet,0.5,FALSE,None,0.26607250597988114,83.10505784156652,79.37959465327727,14.842264028373641,420,0.36293436293436293,NA,94,4526,325,5,0.8469108636625389,0.9693919196083697
2,88,gelnet,0.5,FALSE,None,0.26607250597988114,83.10505784156652,79.37959465327727,14.842264028373641,420,0.36293436293436293,NA,94,4526,325,5,0.8469108636625389,0.9693919196083697
2,88,gelnet,0.5,FALSE,None,0.26607250597988114,83.10505784156652,79.37959465327727,14.842264028373641,420,0.36293436293436293,NA,94,4526,325,5,0.8469108636625389,0.9693919196083697
2,88,gelnet,0.5,FALSE,None,0.26607250597988114,83.10505784156652,79.37959465327727,14.842264028373641,420,0.36293436293436293,NA,94,4526,325,5,0.8469108636625389,0.9693919196083697
