model,method,target,penalize_diag,KL_mean,KL_sd,L2_mean,L2_sd,SP_mean,SP_sd,F1_mean,F1_sd,MCC_mean,MCC_sd
1,gelnet,None,TRUE,36.269180101810576,5.521690459644893,6.6740190268962545,0.6288839041685703,1.4058467748266956,0.07372746016892764,0.5590959300355184,0.0100965876029007,0,0
1,gelnet,None,FALSE,46.655337179902084,6.985539764139666,5.544444716237147,0.347545772977272,1.1752156837035352,0.08264356827394279,0.5169502062684411,0.0103929972912298,0,0
1,gelnet,Eigenvalue,TRUE,111.5133487189144,14.645025938603302,12.675924693205564,1.9865476197143284,2.625898991153547,0.34479799816777035,0.5258262424541202,0.016378021425854525,0,0
1,gelnet,Identity,TRUE,37.554122550801,5.5987311073755155,6.296847745962845,0.5824902072022025,1.3370770213254801,0.07631355616382823,0.5295886776926176,0.008056795328912443,0,0
1,gelnet,MSC,TRUE,39.43011265318711,5.728376368844518,5.976101828991403,0.5321575241083294,1.2676167652531227,0.08297240957023537,0.5089278006875545,0.0058883936653939244,0,0
1,gelnet,Regression,TRUE,59.20903476954146,21.858213953642835,5.594073059972222,0.15199368753761872,1.1737489524129483,0.04123454719492619,0.5688501625068768,0.06493507852021445,0,0
1,gelnet,TrueDiag,TRUE,107.61416346391773,18.860196453658926,3.8258488156115402,0.16957088174206206,0.8639855665870004,0.05040956078361687,0.6602454070879564,0.022750548677678856,0,0
1,gelnet,vIdentity,TRUE,37.36050826615799,5.522401905779383,6.302861782140788,0.5770496418329891,1.3368580303282989,0.07606474209467559,0.5286884939019586,0.007839500447696301,0,0
1,glasso,None,TRUE,41.89449589675139,6.295594823885851,6.22953915227545,0.3945573294419117,1.294226328861991,0.07504218608195413,0.45595513794588666,0.005787305858873884,0,0
1,glasso,None,FALSE,49.666786302883985,7.456747223271335,6.174007701280021,0.27306599538317167,1.2762028990960679,0.09479263548028848,0.43994412835430385,0.007492598465497843,0,0
1,glasso,Eigenvalue,TRUE,79.05357028181615,10.872422529629388,8.68885666881894,1.183674898925758,2.0574285713380167,0.3131501446430699,0.39635966149143714,0.00565187199525578,0,0
1,glasso,Identity,TRUE,42.02509416098092,6.381523278059679,6.219540874327416,0.377749458766866,1.2932439262279622,0.0737960351484981,0.4560498170793268,0.005683020809447995,0,0
1,glasso,MSC,TRUE,41.98432699103284,6.166073092669053,6.2255633520418,0.38724985669068934,1.2930181748770286,0.07564944028845683,0.4558752909376742,0.005838494916008032,0,0
1,glasso,Regression,TRUE,45.13577851021844,7.557816475793483,6.194011464445395,0.26970693386657135,1.2740546580107532,0.059611546260148744,0.44917719987953225,0.009811214140602324,0,0
1,glasso,TrueDiag,TRUE,60.20931236343521,10.341429574138944,5.905075699632809,0.14869929252747016,1.1560276119255968,0.042226779046346787,0.4266488461444469,0.013340303113398634,0,0
1,glasso,vIdentity,TRUE,41.92937723633885,6.16510702304926,6.23094470229915,0.3947173149129461,1.2938030637264657,0.07433256298420436,0.45578469937924765,0.005713284900844269,0,0
1,rope,None,TRUE,39.57404420603192,6.301629936818044,8.971443996358802,0.371320273071448,1.7532115076603128,0.05935868361048244,0.9999494878061709,6.811338104337142e-5,0,0
1,rope,None,FALSE,39.57227358504612,6.288106074159597,8.972733671538807,0.37253410047541546,1.7532030566408894,0.059181125385704275,0.9999395287489096,7.644610200458468e-5,0,0
1,rope,Eigenvalue,TRUE,175.05768553612617,22.183975603079855,22.705205241465347,2.4560792372074216,4.409687792400375,0.4786996955998881,0.9999737341083109,5.10098331287529e-5,0,0
1,rope,Identity,TRUE,38.401190843528575,6.063213983163028,8.279328809030828,0.43689044030074403,1.6910280287908233,0.05799123841697053,0.9999454449524317,8.176669950550939e-5,0,0
1,rope,MSC,TRUE,30.971349202271917,4.7017612561346,6.191577050721089,0.8906341325031055,1.1364626174043018,0.1077698748002883,0.9998757274670448,1.217498585964339e-4,0,0
1,rope,Regression,TRUE,39.92435224026159,8.185720957570469,4.529877377102454,0.23083947609814248,1.0070861396116462,0.049066740765356755,0.9999040229530786,9.124908705702573e-5,0,0
1,rope,TrueDiag,TRUE,62.36214514763008,11.972302040873805,2.343929683642185,0.15584532593023473,0.6080949677095758,0.0608322121767776,0.9998979603056675,9.579396701812958e-5,0,0
1,rope,vIdentity,TRUE,38.496316446143,5.946260429648216,8.275390999233785,0.4426405065389723,1.6910592453887152,0.057963721514350794,0.9999575694305773,6.762760994940657e-5,0,0
2,gelnet,None,TRUE,59.01207302945724,12.136848983169156,83.66916819414715,7.1087325128452,15.830340479820808,1.1917233734678414,0.16535708412098657,0.011095230400197043,NA,NA
2,gelnet,None,FALSE,62.94803716657144,15.58475692427201,82.76094350650494,7.05181968781423,15.709141325786725,1.1881942352767787,0.3446407763483099,0.028479382525963833,NA,NA
2,gelnet,Eigenvalue,TRUE,38.0329842126408,7.812656828100719,80.4802164298283,7.124328637635052,15.266097364710633,1.1867161297714384,0.20007261616679284,0.01288999570801287,NA,NA
2,gelnet,Identity,TRUE,72.78234877339501,13.28870830988233,82.97423444775002,7.047870808602563,15.753611142046843,1.1935210691809577,0.3298191410881611,0.03147883577171967,NA,NA
2,gelnet,MSC,TRUE,68.37522031185199,13.658319635142458,82.36377177382002,7.098677550242487,15.653135668712242,1.1912063262292243,0.36403291552830525,0.03663782926646468,NA,NA
2,gelnet,Regression,TRUE,38.93722928312657,5.251484957154714,75.35283938735189,6.89996569377857,14.333318745572356,1.1373029155865015,0.061966279184606635,0.004408108273619302,NA,NA
