model,method,target,penalize_diag,KL,KL,L2,L2,SP,SP,F1,F1,MCC,MCC,score,rank
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,,
1,gelnet,Eigenvalue,True,116.54023977331798,26.23728466190315,13.289148885020857,3.305847634954287,2.7400330041628065,0.5223813111044201,0.5645941693044753,0.13503645483700363,,,,
1,gelnet,Identity,True,38.355616317272414,5.770516830158776,6.408968640987096,0.5970109357730092,1.3598862790196877,0.08756389505105594,0.5527778430279414,0.07326638464095848,,,,
1,gelnet,MSC,True,39.962132331688665,5.957649564755325,5.9556489805662105,0.5206340789549487,1.2665024896235615,0.07475547061970425,0.5226871402051503,0.04721489803375861,,,,
1,gelnet,Regression,True,55.74826925665564,18.080052535574307,5.554234564676991,0.44248131873216223,1.1669375624490088,0.0882828077371472,0.5934217108164388,0.13013702475486275,,,,
1,gelnet,TrueDiag,True,103.85050692823128,16.422495511698475,3.7986493826412597,0.9782156611217122,0.8484095043797373,0.16586973123579965,0.6720876261848254,0.132713944003269,,,,
1,gelnet,vIdentity,True,38.32379055684639,5.776053421064954,6.407294453694445,0.59113157520063,1.3598592627841,0.0876766895650626,0.5527148173922223,0.07324446899284934,,,,
1,glasso,Eigenvalue,True,80.76690697964048,10.652478129568397,8.72397981160495,1.1199670910423147,2.0695997948268783,0.2928049622100733,0.39644620989421625,0.005197357299205446,,,,
1,glasso,Identity,True,43.028573507722875,6.143518826158783,6.210777360236849,0.33427709599469985,1.2943674209287421,0.06798636161752199,0.455863563306016,0.004859771812991535,,,,
1,glasso,MSC,True,43.00944863424825,6.062037716448675,6.206194337337399,0.3337603719747975,1.2945495480591003,0.06712183859519756,0.45587671916666456,0.004912236460384796,,,,
1,glasso,Regression,True,45.749245207145876,6.5184572181960565,6.2019542959118485,0.2600206128839333,1.2771585268861383,0.05550804389955838,0.44942485961404166,0.008029765589855006,,,,
1,glasso,TrueDiag,True,61.250527399389625,9.006237405797691,5.9016555019431545,0.13597448092368877,1.1595395343955948,0.03654510925556052,0.42702109795197296,0.011657689915467713,,,,
1,glasso,vIdentity,True,42.97062775561313,6.057333962550953,6.208363304065581,0.33576084733885925,1.2949662720485544,0.06678590645452617,0.45595324085788624,0.004844892373149638,,,,
1,rope,Eigenvalue,True,177.58873139605672,20.77165825063207,22.822857653683876,2.3064128436434546,4.448085615335214,0.4639255363644461,0.9999739364755174,4.737040495881114e-05,,,,
1,rope,Identity,True,39.022546676377345,5.693165695213947,8.253426437510331,0.40447080032829946,1.690951984104728,0.048776815979023364,0.9999424149557339,7.735984973622384e-05,,,,
1,rope,MSC,True,31.428197932880916,4.368919782002299,6.151502461807129,0.825744639057723,1.1330761173796802,0.09603649377225479,0.999878758851851,0.00011985719092195399,,,,
1,rope,Regression,True,40.06816494825025,7.126848959947974,4.522807611993421,0.22740208280821508,1.0063360759065,0.04161255729692628,0.9998868434988821,0.00011142400199171281,,,,
1,rope,TrueDiag,True,62.80981509347427,10.459706758102739,2.339285358244077,0.1397834440486019,0.6068249870034872,0.049566096060204526,0.9998939164310674,0.00010834508952383117,,,,
1,rope,vIdentity,True,39.03334952007869,5.718067094045831,8.253157358642124,0.40314285892289753,1.6909550364713188,0.0487867546326794,0.9999478705421893,7.443738555767638e-05,,,,
