"('model', '')","('method', '')","('target', '')","('penalize_diag', '')","('KL', 'mean')","('KL', 'std')","('L2', 'mean')","('L2', 'std')","('SP', 'mean')","('SP', 'std')","('F1', 'mean')","('F1', 'std')","('MCC', 'mean')","('MCC', 'std')",delta_KL_mean_vs_glasso,delta_KL_mean_vs_rope,delta_L2_mean_vs_glasso,delta_L2_mean_vs_rope,delta_SP_mean_vs_glasso,delta_SP_mean_vs_rope,delta_F1_mean_vs_glasso,delta_F1_mean_vs_rope,delta_MCC_mean_vs_glasso,delta_MCC_mean_vs_rope
1,gelnet,Eigenvalue,True,116.54023977331798,26.23728466190315,13.289148885020857,3.305847634954287,2.7400330041628065,0.5223813111044201,0.5645941693044753,0.13503645483700363,,,,,,,,,,,,
1,gelnet,Identity,True,38.355616317272414,5.770516830158776,6.408968640987096,0.5970109357730092,1.3598862790196877,0.08756389505105594,0.5527778430279414,0.07326638464095848,,,,,,,,,,,,
1,gelnet,MSC,True,39.962132331688665,5.957649564755325,5.9556489805662105,0.5206340789549487,1.2665024896235615,0.07475547061970425,0.5226871402051503,0.04721489803375861,,,,,,,,,,,,
1,gelnet,Regression,True,55.74826925665564,18.080052535574307,5.554234564676991,0.44248131873216223,1.1669375624490088,0.0882828077371472,0.5934217108164388,0.13013702475486275,,,,,,,,,,,,
1,gelnet,TrueDiag,True,103.85050692823128,16.422495511698475,3.7986493826412597,0.9782156611217122,0.8484095043797373,0.16586973123579965,0.6720876261848254,0.132713944003269,,,,,,,,,,,,
1,gelnet,vIdentity,True,38.32379055684639,5.776053421064954,6.407294453694445,0.59113157520063,1.3598592627841,0.0876766895650626,0.5527148173922223,0.07324446899284934,,,,,,,,,,,,
1,glasso,Eigenvalue,True,80.76690697964048,10.652478129568397,8.72397981160495,1.1199670910423147,2.0695997948268783,0.2928049622100733,0.39644620989421625,0.005197357299205446,,,,,,,,,,,,
1,glasso,Identity,True,43.028573507722875,6.143518826158783,6.210777360236849,0.33427709599469985,1.2943674209287421,0.06798636161752199,0.455863563306016,0.004859771812991535,,,,,,,,,,,,
1,glasso,MSC,True,43.00944863424825,6.062037716448675,6.206194337337399,0.3337603719747975,1.2945495480591003,0.06712183859519756,0.45587671916666456,0.004912236460384796,,,,,,,,,,,,
1,glasso,Regression,True,45.749245207145876,6.5184572181960565,6.2019542959118485,0.2600206128839333,1.2771585268861383,0.05550804389955838,0.44942485961404166,0.008029765589855006,,,,,,,,,,,,
1,glasso,TrueDiag,True,61.250527399389625,9.006237405797691,5.9016555019431545,0.13597448092368877,1.1595395343955948,0.03654510925556052,0.42702109795197296,0.011657689915467713,,,,,,,,,,,,
1,glasso,vIdentity,True,42.97062775561313,6.057333962550953,6.208363304065581,0.33576084733885925,1.2949662720485544,0.06678590645452617,0.45595324085788624,0.004844892373149638,,,,,,,,,,,,
1,rope,Eigenvalue,True,177.58873139605672,20.77165825063207,22.822857653683876,2.3064128436434546,4.448085615335214,0.4639255363644461,0.9999739364755174,4.737040495881114e-05,,,,,,,,,,,,
1,rope,Identity,True,39.022546676377345,5.693165695213947,8.253426437510331,0.40447080032829946,1.690951984104728,0.048776815979023364,0.9999424149557339,7.735984973622384e-05,,,,,,,,,,,,
1,rope,MSC,True,31.428197932880916,4.368919782002299,6.151502461807129,0.825744639057723,1.1330761173796802,0.09603649377225479,0.999878758851851,0.00011985719092195399,,,,,,,,,,,,
1,rope,Regression,True,40.06816494825025,7.126848959947974,4.522807611993421,0.22740208280821508,1.0063360759065,0.04161255729692628,0.9998868434988821,0.00011142400199171281,,,,,,,,,,,,
1,rope,TrueDiag,True,62.80981509347427,10.459706758102739,2.339285358244077,0.1397834440486019,0.6068249870034872,0.049566096060204526,0.9998939164310674,0.00010834508952383117,,,,,,,,,,,,
1,rope,vIdentity,True,39.03334952007869,5.718067094045831,8.253157358642124,0.40314285892289753,1.6909550364713188,0.0487867546326794,0.9999478705421893,7.443738555767638e-05,,,,,,,,,,,,
2,gelnet,Eigenvalue,True,38.78898612384107,8.508098215682574,80.37721826321925,7.1156474469096835,15.25443192306024,1.1857668398105257,0.20918294681701588,0.09693988586759197,0.29828606439099625,0.10070863947790215,,,,,,,,,,
2,gelnet,Identity,True,73.46459081356906,13.375011926704284,82.97729841250171,7.0191479498937035,15.755848218623447,1.1885945588726174,0.3190424255013609,0.051097674841312245,0.406329363221179,0.042266426200199846,,,,,,,,,,
2,gelnet,MSC,True,68.71115508715766,14.012117906991344,82.36698196341803,7.070001860864592,15.6554217998902,1.1873884697357886,0.3461183617830611,0.06205331461973123,0.4282695898945515,0.05207978673797527,,,,,,,,,,
2,gelnet,Regression,True,46.12828115183047,17.95111539276657,75.85423200997941,7.133983761619215,14.451457578749617,1.164521930830728,0.08172644989162414,0.04572564372887408,0.13008728770701763,0.08000797510339915,,,,,,,,,,
2,gelnet,TrueDiag,True,50.69393673432332,21.535453106063613,75.70417512604297,7.112818342857932,14.398361978983386,1.1547800116772717,0.07659786145898181,0.04270710700150865,0.11976797256909738,0.07819476050153056,,,,,,,,,,
2,gelnet,vIdentity,True,73.61518954959162,13.467298931761162,82.97760763633394,7.018911349137891,15.756302939948906,1.188776121867542,0.32050215872726007,0.0520550841175238,0.4074950726563842,0.04312569309774873,,,,,,,,,,
2,glasso,Eigenvalue,True,44.6867086986831,12.609640978934019,81.43203429978568,7.062259447581162,15.466540830939385,1.1855587699162173,0.4246330529381767,0.036838832060553356,0.4912952530802257,0.03439384418096893,,,,,,,,,,
